tam del arreglo, tiempo, intercambio 
10, 0.000002, 2
20, 0.000004, 11
30, 0.000007, 19
40, 0.000009, 29
50, 0.000011, 33
60, 0.000015, 39
70, 0.000020, 48
80, 0.000017, 53
90, 0.000020, 63
100, 0.000030, 76
200, 0.000054, 146
300, 0.000078, 222
400, 0.000109, 313
500, 0.000140, 392
600, 0.000171, 461
700, 0.000223, 539
800, 0.000239, 606
900, 0.000302, 671
1000, 0.000310, 751
2000, 0.000661, 1505
3000, 0.001158, 2238
4000, 0.001487, 2975
5000, 0.002000, 3724
6000, 0.002382, 4458
7000, 0.003062, 5212
8000, 0.003339, 5946
9000, 0.003961, 6683
10000, 0.004260, 7421
20000, 0.009399, 14867
30000, 0.015190, 22353
40000, 0.020662, 29720
50000, 0.025915, 37118
60000, 0.031323, 44705
70000, 0.038908, 52134
80000, 0.045047, 59605
90000, 0.052828, 67064
100000, 0.058355, 74444
200000, 0.134010, 148948
300000, 0.217244, 223281
400000, 0.409844, 297746
500000, 0.435562, 372287
600000, 0.523613, 446788
700000, 0.674703, 521363
800000, 0.744342, 595629
900000, 0.894687, 670184
1000000, 1.008122, 744236
