tam del arreglo, tiempo, intercambio, Nombre de algoritmo 
10, 0.000003, 6, quickSort
10, 0.000003, 2, heapSort
20, 0.000004, 13, quickSort
20, 0.000004, 11, heapSort
30, 0.000005, 19, quickSort
30, 0.000018, 19, heapSort
40, 0.000127, 26, quickSort
40, 0.000008, 24, heapSort
50, 0.000010, 31, quickSort
50, 0.000010, 32, heapSort
60, 0.000011, 40, quickSort
60, 0.000013, 40, heapSort
70, 0.000012, 46, quickSort
70, 0.000015, 50, heapSort
80, 0.000014, 54, quickSort
80, 0.000017, 57, heapSort
90, 0.000015, 59, quickSort
90, 0.000021, 67, heapSort
100, 0.000019, 67, quickSort
100, 0.000023, 77, heapSort
200, 0.000033, 132, quickSort
200, 0.000117, 136, heapSort
300, 0.000054, 199, quickSort
300, 0.000086, 225, heapSort
400, 0.000078, 267, quickSort
400, 0.000120, 291, heapSort
500, 0.000086, 329, quickSort
500, 0.000167, 362, heapSort
600, 0.000106, 406, quickSort
600, 0.000186, 429, heapSort
700, 0.000134, 466, quickSort
700, 0.000225, 500, heapSort
800, 0.000144, 537, quickSort
800, 0.000375, 567, heapSort
900, 0.000174, 603, quickSort
900, 0.000701, 639, heapSort
1000, 0.000199, 677, quickSort
1000, 0.000338, 713, heapSort
2000, 0.000409, 1336, quickSort
2000, 0.000912, 1473, heapSort
3000, 0.000644, 1993, quickSort
3000, 0.001163, 2209, heapSort
4000, 0.000887, 2655, quickSort
4000, 0.001658, 2950, heapSort
5000, 0.001021, 3291, quickSort
5000, 0.002106, 3707, heapSort
6000, 0.001403, 3963, quickSort
6000, 0.003019, 4480, heapSort
7000, 0.001550, 4630, quickSort
7000, 0.002931, 5219, heapSort
8000, 0.001773, 5302, quickSort
8000, 0.003526, 5970, heapSort
9000, 0.002066, 5946, quickSort
9000, 0.004183, 6684, heapSort
10000, 0.002253, 6570, quickSort
10000, 0.004563, 7411, heapSort
20000, 0.004790, 12998, quickSort
20000, 0.009602, 14872, heapSort
30000, 0.007419, 19398, quickSort
30000, 0.015062, 22272, heapSort
40000, 0.010234, 25530, quickSort
40000, 0.021076, 29648, heapSort
50000, 0.012953, 31758, quickSort
50000, 0.028732, 37195, heapSort
60000, 0.015853, 37937, quickSort
60000, 0.033036, 44625, heapSort
70000, 0.018025, 44000, quickSort
70000, 0.040121, 52067, heapSort
80000, 0.020373, 50068, quickSort
80000, 0.046178, 59584, heapSort
90000, 0.023343, 56001, quickSort
90000, 0.054144, 66944, heapSort
100000, 0.025922, 62114, quickSort
100000, 0.060598, 74365, heapSort
200000, 0.055113, 121016, quickSort
200000, 0.143770, 149360, heapSort
300000, 0.080676, 179571, quickSort
300000, 0.238845, 223477, heapSort
400000, 0.108446, 237976, quickSort
400000, 0.372933, 297694, heapSort
500000, 0.141003, 296621, quickSort
500000, 0.463980, 372304, heapSort
600000, 0.170055, 355476, quickSort
600000, 0.573976, 446568, heapSort
700000, 0.195720, 413584, quickSort
700000, 0.697058, 521242, heapSort
800000, 0.224218, 471378, quickSort
800000, 0.793152, 595651, heapSort
900000, 0.253161, 529753, quickSort
900000, 0.941087, 670416, heapSort
1000000, 0.279215, 588529, quickSort
1000000, 0.970118, 744829, heapSort
